AtlasCourseId,CourseReference,DORSCourseIdentifier,DORSForceContractIdentifier,AtlasVenueId,VenueName,DORSSiteIdentifier,CourseStartDateAndTime,CourseEndDateAndTime,CourseType,CourseEnabled,DORSSChemeName,DORSSchemeIdentifier,Notes
5710,DC95A,2667000,639,18,Signature,708,2017-11-30 13:30,2017-11-30 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 28 2017  8:55AM BY: Sam Foster  Client Name: John Hulsmeier, Id: 64584 - transferred into this course from course Id: 5633  ------------------------------------  ,NOTE ADDED: Sep 28 2017  8:55AM BY: Sam Foster    ------------------------------------  ,NOTE ADDED: Oct  3 2017  9:12AM BY: Joanne Coulter  Client Name: Ms Susan Johnson, Id: 64541 - transferred into this course from course Id: 5628  ------------------------------------  ,NOTE ADDED: Oct  3 2017  9:12AM BY: Joanne Coulter    ------------------------------------  ,NOTE ADDED: Oct  5 2017 12:31PM BY: Amanda Thomas  Client Name: Ms Denise Hunt, Id: 59510 - transferred into this course from course Id: 5637  ------------------------------------  ,NOTE ADDED: Oct  5 2017 12:31PM BY: Amanda Thomas    ------------------------------------  "
5758,ST702A,2667007,634,9,Durham Tees Valley Business Centre,709,2017-11-30 13:30,2017-11-30 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5709,DC95,2666999,639,18,Signature,708,2017-11-30 08:30,2017-11-30 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5757,ST702,2667006,634,9,Durham Tees Valley Business Centre,709,2017-11-30 08:30,2017-11-30 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  4 2017  3:47PM BY: Ellie Sumpton  Client Name: Mrs Jill Harrison, Id: 61569 - transferred into this course from course Id: 5759  ------------------------------------  ,NOTE ADDED: Oct  4 2017  3:47PM BY: Ellie Sumpton    ------------------------------------  "
5708,DT152A,2666998,639,16,Morrison Trust Darlington,626,2017-11-29 13:30,2017-11-29 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5756,MB1157A,2667005,634,24,TAD Centre,152,2017-11-29 13:30,2017-11-29 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 26 2017 12:03PM BY: LCrossman  Client Name: Rebecca Dack, Id: 63358 - transferred into this course from course Id: 5577  ------------------------------------  ,NOTE ADDED: Sep 26 2017 12:03PM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:26AM BY: Ellie Sumpton  Client Name: Wilfred Hustwit, Id: 64402 - transferred into this course from course Id: 5628  ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:26AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Oct  4 2017  8:30AM BY: Sam Foster  Client Name: Mr Alec Stuart Westwood, Id: 64052 - transferred into this course from course Id: 5577  ------------------------------------  ,NOTE ADDED: Oct  4 2017  8:30AM BY: Sam Foster    ------------------------------------  "
5707,DT152,2666997,639,16,Morrison Trust Darlington,626,2017-11-29 08:30,2017-11-29 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5755,MB1157,2667004,634,24,TAD Centre,152,2017-11-29 08:30,2017-11-29 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5754,ST701E,2667003,634,9,Durham Tees Valley Business Centre,709,2017-11-28 16:45,2017-11-28 20:45,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5706,PL104A,2666996,639,27,The Pavillion Peterlee,625,2017-11-28 13:30,2017-11-28 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5753,MB1156A,2667002,634,24,TAD Centre,152,2017-11-28 13:30,2017-11-28 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5705,PL104,2666987,639,27,The Pavillion Peterlee,625,2017-11-28 08:30,2017-11-28 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  4 2017  8:37AM BY: Ellie Sumpton  Client Name: Mr Craig Kitching, Id: 65578 - transferred out of this course on to Course Id: 5674  ------------------------------------  ,NOTE ADDED: Oct  4 2017  8:37AM BY: Ellie Sumpton    ------------------------------------  "
5752,MB1156,2667001,634,24,TAD Centre,152,2017-11-28 08:30,2017-11-28 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 26 2017  9:07AM BY: Joanne Coulter  Client Name: Mr Iain Buchanan, Id: 64779 - transferred into this course from course Id: 5618  ------------------------------------  ,NOTE ADDED: Sep 26 2017  9:07AM BY: Joanne Coulter    ------------------------------------  "
5704,CH197A,2666986,639,5,Chester-le-Street Cricket Club,624,2017-11-27 13:30,2017-11-27 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  5 2017  9:52AM BY: Amanda Thomas  Client Name: Greg Bellas, Id: 65953 - transferred into this course from course Id: 5563  ------------------------------------  ,NOTE ADDED: Oct  5 2017  9:52AM BY: Amanda Thomas    ------------------------------------  "
5751,HP463A,2666995,634,4,Brierton Sports Centre,548,2017-11-27 13:30,2017-11-27 00:00,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5703,CH197,2666985,639,5,Chester-le-Street Cricket Club,624,2017-11-27 08:30,2017-11-27 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5750,HP463,2666994,634,4,Brierton Sports Centre,548,2017-11-27 08:30,2017-11-27 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5702,WDUDT36,2666984,NULL,16,Morrison Trust Darlington,626,2017-11-25 08:30,2017-11-25 11:45,What's Driving Us?,YES,What's Driving Us? Course,6,NULL
